周边ID,正式商品名,展示方式,图片来源域名,图片来源,审计结果,核验依据
KR-MER-0390,鬼龍紅郎 ハート型スライドミラー 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』」,本地,www.hobbystock.jp,Crossroad封口图片工程,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0448,鬼龍紅郎 「あんさんぶるスターズ!! フレフレスケルトンうちわmini vol.4」,本地,img.amiami.jp,AmiAmi官方鬼龍紅郎独立商品图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0449,あんさんぶるスターズ!! ステラフォトsparkle Vol.2-B 10.鬼龍紅郎,本地,img.amiami.jp,AmiAmi/amie鬼龍紅郎独立官方预约商品主图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0461,鬼龍紅郎 つままれキーホルダー 「あんさんぶるスターズ!」,本地,img.amiami.jp,AmiAmi/amie鬼龍紅郎独立商品主图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0462,鬼龍紅郎 「あんさんぶるスターズ! 着ぐるみバッジ 第五弾」,官方/样品直链,img.amiami.jp,AmiAmi官方角色商品图（review gallery）,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0463,鬼龍紅郎 「あんさんぶるスターズ! スマイルすうぃんぐバッジ 第二弾」,官方/样品直链,img.amiami.jp,AmiAmi官方review gallery・鬼龍紅郎角色高清图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0464,鬼龍紅郎 つままれストラップ 「あんさんぶるスターズ!」,本地,img.amiami.jp,AmiAmi/amie鬼龍紅郎独立商品主图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0471,『あんさんぶるスターズ!!』ライブボディーシール 17.鬼龍紅郎,官方/样品直链,img.amiami.jp,AmiAmi角色精确页官方主图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0472,あんさんぶるスターズ! 立体ネームアクキー 鬼龍紅郎,官方/样品直链,img.amiami.jp,AmiAmi官方鬼龍紅郎角色商品图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0473,『あんさんぶるスターズ!!』ステラフォトsparkle 39.鬼龍紅郎,本地,img.amiami.jp,AmiAmi/amie鬼龍紅郎独立官方商品主图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0475,鬼龍紅郎 チャーム付きシャイニーブレスレット 「あんさんぶるスターズ!」,官方/样品直链,img.amiami.jp,AmiAmi官方鬼龍紅郎完整商品CG,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0477,着ぐるみメモ 鬼龍紅郎 「あんさんぶるスターズ!」,本地,img.amiami.jp,AmiAmi/amie鬼龍紅郎独立官方商品主图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0478,あんさんぶるスターズ!! フレフレスケルトンうちわ 39.鬼龍紅郎,官方/样品直链,img.amiami.jp,AmiAmi角色单品官方主图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0479,鬼龍紅郎 「あんさんぶるスターズ!! おなまえアクリルバッジぷち Vol.4」,官方/样品直链,img.amiami.jp,AmiAmi官方角色商品图（review gallery）,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0480,フェルトキーホルダー 鬼龍紅郎 「あんさんぶるスターズ!」,官方/样品直链,img.amiami.jp,AmiAmi角色单品商品图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0481,UVミラー 鬼龍紅郎 「あんさんぶるスターズ!」,官方/样品直链,img.amiami.jp,AmiAmi角色官方商品主图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0482,着ぐるみメモ Summer ver. 鬼龍紅郎 「あんさんぶるスターズ!」,本地,img.amiami.jp,AmiAmi/amie鬼龍紅郎独立官方商品主图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0483,鬼龍紅郎 「あんさんぶるスターズ! コードホルダークリップ C」,官方/样品直链,img.amiami.jp,AmiAmi官方review gallery・鬼龍紅郎角色高清图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0517,鬼龍紅郎 「あんさんぶるスターズ! カプセル缶バッジコレクションvol.2」,官方/样品直链,bandai-a.akamaihd.net,BANDAIガシャポン公式鬼龍紅郎商品画像,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0518,鬼龍紅郎 「あんさんぶるスターズ! カプセル缶バッジコレクションvol.4」,官方/样品直链,bandai-a.akamaihd.net,BANDAIガシャポン公式鬼龍紅郎商品画像,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0577,鬼龍紅郎(紅月衣装ver.) クロスロード クリップキーホルダー 「あんさんぶるスターズ!! 追憶セレクション POP-UP STORE」,本地,www.animate-onlineshop.jp,Crossroad封口图片工程,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0578,鬼龍紅郎(デッドマンズ衣装ver.) クロスロード クリップキーホルダー 「あんさんぶるスターズ!! 追憶セレクション POP-UP STORE」,本地,www.animate-onlineshop.jp,Crossroad封口图片工程,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0579,鬼龍紅郎(紅月衣装ver.) クロスロード アクリルキーホルダー2.5 「あんさんぶるスターズ!! 追憶セレクション POP-UP STORE」,本地,www.animate-onlineshop.jp,Crossroad封口图片工程,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0580,鬼龍紅郎(デッドマンズ衣装ver.) クロスロード アクリルキーホルダー2.5 「あんさんぶるスターズ!! 追憶セレクション POP-UP STORE」,本地,www.animate-onlineshop.jp,Crossroad封口图片工程,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0583,鬼龍紅郎 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』 ミニクリアフラットポーチ」,本地,www.hobbystock.jp,Crossroad封口图片工程,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0584,鬼龍紅郎 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』 ネーム＆ビジュアルクロスポスター」,本地,www.hobbystock.jp,Crossroad封口图片工程,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0686,鬼龍紅郎 「あんさんぶるスターズ!! DECOPAD vol.4」,官方/样品直链,baseec-img-mng.akamaized.net,アルジャーノンプロダクト官方商品主图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0689,一筆箋 紅月 「あんさんぶるスターズ!」,官方/样品直链,img.amiami.jp,AmiAmi/amie 紅月官方完整商品图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0690,モバイルポーチ 紅月 「あんさんぶるスターズ!」,本地,img.amiami.jp,AmiAmi/amie紅月官方商品主图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0691,ハードカバー一筆箋 紅月 「あんさんぶるスターズ!」,官方/样品直链,img.amiami.jp,AmiAmi官方紅月完整商品图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0692,ビン入りこんぺいとう 紅月 「あんさんぶるスターズ!」,官方/样品直链,img.amiami.jp,AmiAmi Unit商品主图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0693,スターキーホルダー 紅月 「あんさんぶるスターズ!」,官方/样品直链,img.amiami.jp,AmiAmi官方完整商品图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0694,着ぐるみバッジスペシャルセット G 「あんさんぶるスターズ!」,官方/样品直链,img.amiami.jp,AmiAmi官方正式整套商品图（review gallery）,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0730,鬼龍紅郎 Ani-Art 1ポケットパスケース vol.2 「あんさんぶるスターズ!」,官方/样品直链,cdn.amnibus.com,AMNIBUS官方商品主图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
KR-MER-0825,鬼龍紅郎 アイドルアクリルスタンド 10th Tour Edition 「あんさんぶるスターズ!! DREAM LIVE Tour -10th ALL STARS!!-」,本地,pattythree-shop-product.jp,pattythree官方鬼龍紅郎商品变体原图,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0901,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Vol.7 Private」,本地,pattythree-shop-product.jp,pattythree官方阵容图裁切,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0902,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Vol.7 Action」,本地,pattythree-shop-product.jp,pattythree官方阵容图裁切,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0905,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Extra -SELECTION 10 UNIT SONG-」,本地,pattythree-shop-product.jp,pattythree官方阵容图裁切,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0910,鬼龍 紅郎 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 アクリルバッジ vol.1」,本地,www.hobbystock.jp,Crossroad封口图片工程,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0911,鬼龍 紅郎 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 アクリルバッジ vol.2」,本地,www.hobbystock.jp,Crossroad封口图片工程,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0912,鬼龍 紅郎 「あんさんぶるスターズ！！追憶セレクション『クロスロード』 お出かけスティック」,本地,www.hobbystock.jp,Crossroad封口图片工程,清理通过/锁定,本地图片逐张视觉核验：鬼龍紅郎且商品对应正确；样品图/商品CG，不是二手卖家实拍
KR-MER-0953,鬼龍紅郎 Ani-Art 1ポケットパスケース 「あんさんぶるスターズ!」,官方/样品直链,cdn.amnibus.com,AMNIBUS官方商品主图,清理通过/锁定,商品样品图直链；来源域名在清理白名单；非二手/拍卖/媒体截图
